PLAYER,TEAM,CLAUSE,EXPIRY,AGE,POS,,GP,G,A,P,+/-,TOI,W,L,SO,GAA,Sv%,,SALARY,CAP HIT ▾
148. John-Michael Liles,Minnesota Wild,M-NTC,UFA,36,D,,41,2,7,9,0,,-,-,-,-,-,,"$4,250,000","$3,875,000"
149. Travis Hamonic,Ottawa Senators,,UFA,26,D,,69,3,15,18,0,,-,-,-,-,-,,"$1,250,000","$3,857,143"
150. Justin Williams,Arizona Coyotes,,UFA,35,RW,,82,19,24,43,0,,-,-,-,-,-,,"$3,750,000","$3,825,000"
151. David Perron,New York Islanders,,UFA,29,"LW, RW",,78,28,29,57,0,,-,-,-,-,-,,"$3,500,000","$3,812,500"
152. Antti Niemi,St. Louis Blues,,UFA,33,G,,64,-,-,-,-,-,0,0,0,0.00,.000,,"$4,000,000","$3,800,000"
153. Kyle Quincey,Tampa Bay Lightning,,UFA,31,D,,82,4,9,13,0,,-,-,-,-,-,,"$4,000,000","$3,775,000"
154. Antoine Vermette,Detroit Red Wings,,UFA,35,"C, LW",,82,24,21,45,0,,-,-,-,-,-,,"$3,750,000","$3,750,000"
155. Brooks Orpik,New York Islanders,M-NTC,UFA,36,D,,72,2,11,13,0,,-,-,-,-,-,,"$3,750,000","$3,750,000"
156. Claude Giroux,Chicago Blackhawks,,UFA,29,"C, RW",,82,28,58,86,0,,-,-,-,-,-,,"$5,000,000","$3,750,000"
157. Erik Johnson,Ottawa Senators,,UFA,29,D,,80,9,30,39,0,,-,-,-,-,-,,"$3,750,000","$3,750,000"
158. Jaroslav Halak,St. Louis Blues,,UFA,32,G,,52,-,-,-,-,-,0,0,0,0.00,.000,,"$4,500,000","$3,750,000"
159. Chris Kunitz,New York Islanders,M-NTC,UFA,37,LW,,78,35,33,68,0,,-,-,-,-,-,,"$3,725,000","$3,725,000"
160. Troy Brouwer,Detroit Red Wings,M-NTC,UFA,31,RW,,82,25,18,43,0,,-,-,-,-,-,,"$3,600,000","$3,666,667"
